Country,lat,lon,Year_2017,Year_2016,Year_2015,Year_2014,Year_2013,Year_2012,Year_2011,Year_2010,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000,2017_Country_Population,Per_Population_2017,
Guatemala,15.78,-90.23,3743.00,4853.00,6836.00,5685.00,6214.00,5346.00,6817.00,7384.00,7080.00,7198.00,15382.00,31093.00,39571.00,28955.00,31127.00,35540.00,35824.00,53311.00,16914979.00,0.02,
Guinea,9.95,-9.70,1335323.00,992146.00,810979.00,660207.00,211257.00,317200.00,95574.00,20936.00,35841.00,33405.00,44518.00,54227.00,50452.00,103069.00,107925.00,16561.00,6238.00,4800.00,12067516.00,11.07,
Guinea-Bissau,11.80,-15.18,89784.00,150903.00,142309.00,93431.00,54584.00,50381.00,71982.00,50391.00,11757.00,11299.00,14284.00,15120.00,14659.00,,,,,,1828146.00,4.91,
Guyana,4.86,-58.93,13936.00,12367.00,9984.00,12354.00,31479.00,31656.00,29506.00,22935.00,13673.00,11815.00,11656.00,21064.00,38984.00,28866.00,27627.00,21895.00,27122.00,24018.00,775218.00,1.80,
Haiti,18.97,-72.29,19135.00,21430.00,17583.00,17696.00,20957.00,25423.00,34350.00,84153.00,49535.00,36774.00,29825.00,32739.00,21778.00,10802.00,,,9837.00,16897.00,10982367.00,0.17,
Honduras,15.20,-86.24,1277.00,4094.00,3575.00,3378.00,5428.00,6437.00,7510.00,9744.00,9313.00,8368.00,10512.00,11947.00,15943.00,17134.00,14063.00,17223.00,24149.00,35125.00,9429016.00,0.01,
India,20.59,78.96,844558.00,1087285.00,1169261.00,1102205.00,881730.00,1067824.00,1310656.00,1599986.00,1563574.00,1532497.00,1508927.00,1785109.00,1816569.00,1915363.00,1869403.00,1841227.00,2085484.00,2031790.00,1338676779.00,0.06,
Indonesia,-0.79,113.92,261617.00,218450.00,217025.00,252027.00,343527.00,417819.00,422447.00,465764.00,272491.00,349231.00,311789.00,347597.00,437323.00,304936.00,223074.00,273793.00,267592.00,245612.00,264650969.00,0.10,
Iran (Islamic Republic),33.22,43.68,57.00,81.00,167.00,358.00,479.00,756.00,1632.00,1847.00,4345.00,8349.00,15712.00,15909.00,18966.00,13821.00,23562.00,15558.00,19303.00,19716.00,80673888.00,0.00,
Iraq,32.43,53.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,24.00,47.00,155.00,347.00,952.00,1265.00,1860.00,37552789.00,0.00,
Kazakhstan,48.02,66.92,0.00,0.00,0.00,,,,,,,,,,,,,,,,18080023.00,0.00,
Kenya,-0.02,37.91,3215116.00,2783846.00,1499027.00,2808931.00,2335286.00,1453471.00,1002805.00,898531.00,,839903.00,,,,28328.00,39383.00,20049.00,,,50221146.00,6.40,
Kyrgyzstan,41.20,74.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,18.00,96.00,317.00,226.00,93.00,468.00,2743.00,28.00,12.00,6189727.00,0.00,
Lao Peoples Democratic Republic,19.86,102.50,9333.00,11223.00,36056.00,48071.00,38131.00,46202.00,17532.00,20800.00,14674.00,19347.00,17458.00,18382.00,13615.00,16183.00,18894.00,21420.00,27076.00,40106.00,6953031.00,0.13,
Liberia,6.43,-9.43,,1191137.00,931086.00,864204.00,1244220.00,1407455.00,1915762.00,922173.00,839581.00,606952.00,492272.00,761415.00,44875.00,,,,,,4702224.00,0.00,
Madagascar,-18.77,46.87,800661.00,475333.00,744103.00,377963.00,385598.00,359420.00,224498.00,202450.00,215110.00,93234.00,48497.00,5689.00,6753.00,7638.00,6909.00,5272.00,8538.00,6946.00,25570511.00,3.13,
Malawi,-13.25,34.30,4901344.00,4827373.00,3661238.00,2905310.00,1280892.00,1564984.00,304499.00,,,,,,,,,,,,17670193.00,27.74,
Malaysia,4.21,101.98,85.00,266.00,242.00,3147.00,2921.00,3662.00,3954.00,5194.00,5955.00,6071.00,4048.00,5294.00,5569.00,6154.00,6338.00,11019.00,12780.00,12705.00,31104655.00,0.00,
Mali,17.57,-4.00,1918376.00,2156282.00,2295611.00,2039853.00,1367218.00,886482.00,307035.00,227482.00,,,,,,,,,,,18512429.00,10.36,
Mauritania,21.01,-10.94,20105.00,23042.00,22631.00,15835.00,13085.00,9037.00,5991.00,6367.00,940.00,302.00,,1061.00,,,,,,,4282582.00,0.47,
Mauritius,-20.35,57.55,0.00,,,,,,,,,,,,,,,,,,1264497.00,0.00,
Mexico,23.63,-102.55,736.00,551.00,517.00,656.00,495.00,833.00,1124.00,1226.00,2703.00,2357.00,2361.00,2514.00,2967.00,3406.00,3819.00,4624.00,4996.00,7390.00,124777326.00,0.00,
Morocco,31.79,-7.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,19.00,0.00,3.00,35581257.00,0.00,
Mozambique,-18.67,35.53,8921081.00,8520376.00,7718782.00,7117648.00,2998874.00,1813984.00,1756874.00,1522577.00,93874.00,120259.00,141663.00,,,,,,,,28649007.00,31.14,
Myanmar,21.92,95.96,19619.00,110146.00,182768.00,205658.00,333871.00,480586.00,465294.00,420808.00,436068.00,447073.00,373958.00,203071.00,165737.00,152070.00,177530.00,173096.00,170502.00,120083.00,53382521.00,0.04,
